"sample","cell_line","treatment","time","replicate","names","condition","run_id"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_vfJUgLg"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_vfJUgLg"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_vfJUgLg"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_vfJUgLg"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_vfJUgLg"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_vfJUgLg"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_vfJUgLg"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_vfJUgLg"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_vfJUgLg"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_vfJUgLg"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_vfJUgLg"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_vfJUgLg"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_9TJo5mM"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_9TJo5mM"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_9TJo5mM"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_9TJo5mM"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_9TJo5mM"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_9TJo5mM"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_9TJo5mM"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_9TJo5mM"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_9TJo5mM"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_9TJo5mM"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_9TJo5mM"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_9TJo5mM"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_ABg6q94"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_ABg6q94"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_ABg6q94"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_ABg6q94"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_ABg6q94"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_ABg6q94"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_ABg6q94"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_ABg6q94"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_ABg6q94"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_ABg6q94"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_ABg6q94"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_ABg6q94"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_Ls3LIac"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_Ls3LIac"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_Ls3LIac"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_Ls3LIac"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_Ls3LIac"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_Ls3LIac"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_Ls3LIac"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_Ls3LIac"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_Ls3LIac"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_Ls3LIac"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_Ls3LIac"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_Ls3LIac"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_4SfBjdE"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_4SfBjdE"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_4SfBjdE"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_4SfBjdE"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_4SfBjdE"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_4SfBjdE"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_4SfBjdE"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_4SfBjdE"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_4SfBjdE"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_4SfBjdE"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_4SfBjdE"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_4SfBjdE"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_FQHUvq0"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_FQHUvq0"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_FQHUvq0"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_FQHUvq0"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_FQHUvq0"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_FQHUvq0"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_FQHUvq0"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_FQHUvq0"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_FQHUvq0"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_FQHUvq0"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_FQHUvq0"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_FQHUvq0"
"GSM1518055 ","CUTLL1","DMSO","12h",1,"CUTLL1_DMSO_12h_1","DMSO_12h","run_Ak5OSKY"
"GSM1518056","CUTLL1","GSI","12h",1,"CUTLL1_GSI_12h_1","GSI_12h","run_Ak5OSKY"
"GSM1518057","CUTLL1","DMSO","48h",1,"CUTLL1_DMSO_48h_1","DMSO_48h","run_Ak5OSKY"
"GSM1518058","CUTLL1","GSI","48h",1,"CUTLL1_GSI_48h_1","GSI_48h","run_Ak5OSKY"
"GSM1518059","CUTLL1","DMSO","12h",2,"CUTLL1_DMSO_12h_2","DMSO_12h","run_Ak5OSKY"
"GSM1518060","CUTLL1","GSI","12h",2,"CUTLL1_GSI_12h_2","GSI_12h","run_Ak5OSKY"
"GSM1518061","CUTLL1","DMSO","48h",2,"CUTLL1_DMSO_48h_2","DMSO_48h","run_Ak5OSKY"
"GSM1518062","CUTLL1","GSI","48h",2,"CUTLL1_GSI_48h_2","GSI_48h","run_Ak5OSKY"
"GSM1518063","CUTLL1","DMSO","12h",3,"CUTLL1_DMSO_12h_3","DMSO_12h","run_Ak5OSKY"
"GSM1518064","CUTLL1","GSI","12h",3,"CUTLL1_GSI_12h_3","GSI_12h","run_Ak5OSKY"
"GSM1518065","CUTLL1","DMSO","48h",3,"CUTLL1_DMSO_48h_3","DMSO_48h","run_Ak5OSKY"
"GSM1518066","CUTLL1","GSI","48h",3,"CUTLL1_GSI_48h_3","GSI_48h","run_Ak5OSKY"
